LastName,Firstname,Student ID,DOB,Class,Status,Enrolled
Morris,Joshua,0344110,110587,ART-8A-95521,X,1/19/2017
Hall,Jerry,0344085,110589,ART-8A-95521,R,11/28/2016
Ward,Dennis,0343956,110593,ART-8A-95521,X,12/9/2016
Turner,Walter,0342522,052355,ART-8A-95521,R,11/21/2016
Carter,Patrick,0342919,052350,ART-8A-95521,R,11/21/2016
Phillips,Peter,0343305,052351,ART-8A-95521,R,11/21/2016
Mitchell,Harold,0342818,052347,ART-8A-95521,R,11/21/2016
Patel,Douglas,0343108,052357,MATH-5A-96665,D,2/15/2017
Carter,Patrick,0342919,052350,MATH-5A-96665,R,11/21/2016
Phillips,Peter,0343305,052351,MATH-5A-96665,R,11/21/2016
Adams,Henry,0343266,052350,MATH-5A-96665,R,2/15/2017
Campbell,Carl,0342672,052348,MATH-5A-96665,D,2/15/2017
Anderson,Arthur,0342502,052350,MATH-5A-96665,R,2/15/2017
Allen,Ryan,0125539,112750,MATH-5A-96665,R,1/20/2017
Cook,Roger,0125700,112755,MATH-5A-96665,R,1/20/2017
Bailey,Joe,0210758,031175,MATH-5A-96665,X,1/22/2017
Parker,Juan,0210369,031176,MATH-5A-96665,D,4/13/2017
Miller,Jack,0210384,031183,MATH-5A-96665,X,12/15/2016
Davis,Albert,0361299,102788,MATH-5A-96665,R,1/3/2017
Murphy,Jonathan,0344450,042787,MATH-5A-96665,R,11/29/2016
Price,Justin,0344815,042790,MATH-5A-96665,R,11/29/2016
Bell,Terry,0344644,042790,ENGL-1B-96108,R,11/29/2016
Anderson,Arthur,0342502,052350,ENGL-1B-96108,R,2/15/2017
Allen,Ryan,0125539,112750,ENGL-1B-96108,R,1/20/2017
Cook,Roger,0125700,112755,ENGL-1B-96108,R,1/20/2017
Baker,Gerald,0344746,042787,ENGL-1B-96108,R,11/29/2016
Griffiths,Keith,0344594,042792,ENGL-1B-96108,X,11/29/2016
Kelly,Samuel,0334106,041991,ENGL-1B-96108,R,1/24/2017
Simpson,Willie,0334470,041995,ENGL-1B-96108,D,1/24/2017
Marshall,Ralph,0333941,041988,ENGL-1B-96108,R,11/28/2016
Collins,Lawrence,0334037,041990,ENGL-1B-96108,R,11/28/2016
Bennett,Nicholas,0334510,041989,ENGL-1B-96108,R,11/28/2016
Cox,Roy,0343221,022090,ENGL-1B-96108,X,12/8/2016
Richardson,Benjamin,0343003,022094,ENGL-1B-96108,X,12/8/2016
Fox,Bruce,0343114,022090,ENGL-1B-96108,X,12/8/2016
Gray,Brandon,0343159,022094,ENGL-1B-96108,A,2/2/2017
Rose,Adam,0342512,022097,ENGL-1B-96108,A,1/27/2017
Chapman,Harry,0343066,022098,BIO-4-95562,X,12/12/2016
Hunt,Fred,0342705,022088,BIO-4-95562,D,1/27/2017
Bell,Terry,0344644,042790,BIO-4-95562,R,11/29/2016
Anderson,Arthur,0342502,052350,BIO-4-95562,R,2/15/2017
Allen,Ryan,0125539,112750,BIO-4-95562,R,1/20/2017
Cook,Roger,0125700,112755,BIO-4-95562,R,1/20/2017
Robertson,Wayne,0343236,022097,BIO-4-95562,R,11/29/2016
Shaw,Billy,0342521,022095,BIO-4-95562,R,11/29/2016
Reynolds,Steve,0343368,022091,BIO-4-95562,R,12/8/2016
Lloyd,Louis,0140218,123069,BIO-4-95562,R,11/21/2016
Ellis,Jeremy,0284865,032183,BIO-4-95562,R,1/5/2017
Richards,Aaron,0284812,032191,BIO-4-95562,R,12/11/2016
Russell,Randy,0354023,110992,BIO-4-95562,R,11/29/2016
Wilkinson,Howard,0353977,110993,BIO-4-95562,R,11/29/2016
Khan,Mary,0353955,110997,BIO-4-95562,X,11/29/2016
Graham,Patricia,0353340,110993,BIO-4-95562,R,12/4/2016
Stewart,Linda,0353795,110997,BIO-4-95562,D,2/6/2017
Reid,Barbara,0357373,080193,BIO-4-95562,R,11/29/2016
Murray,Elizabeth,0356663,080190,BIO-4-95562,D,3/30/2017
Powell,Jennifer,0357320,080188,DANCE-1-95836,R,11/29/2016
Palmer,Maria,0357336,080194,DANCE-1-95836,R,12/4/2016
Holmes,Susan,0328751,060291,DANCE-1-95836,D,3/30/2017
Ellis,Jeremy,0284865,032183,DANCE-1-95836,R,1/5/2017
Richards,Aaron,0284812,032191,DANCE-1-95836,R,12/11/2016
Russell,Randy,0354023,110992,DANCE-1-95836,R,11/29/2016
Rogers,Margaret,0328612,060293,DANCE-1-95836,R,11/30/2016
Stevens,Dorothy,0328683,060289,DANCE-1-95836,D,1/23/2017
Walsh,Lisa,0328673,060294,DANCE-1-95836,R,12/18/2016
Hunter,Nancy,0329004,060291,DANCE-1-95836,A,1/26/2017
Thomson,Karen,0328715,060290,DANCE-1-95836,R,11/30/2016
Matthews,Betty,0328587,060294,DANCE-1-95836,R,11/30/2016
Michelle,Smith,0009562,101198,DANCE-1-95836,R,11/13/2016
Ross,Helen,0205062,053067,DANCE-1-95836,R,12/12/2016
Owen,Sandra,0204540,053062,DANCE-1-95836,R,12/12/2016
Mason,Donna,0205142,053070,DANCE-1-95836,R,12/12/2016
Knight,Carol,0204905,053063,DANCE-1-95836,R,12/12/2016
Kennedy,Ruth,0356913,040794,DANCE-1-95836,R,12/1/2016
Butler,Sharon,0356226,040795,MUS-10-96681,R,12/3/2016
Saunders,Michelle,0356681,040794,MUS-10-96681,R,12/3/2016
Turner,Laura,0357033,040797,MUS-10-96681,R,12/1/2016
Carter,Sarah,0357443,082792,MUS-10-96681,X,12/6/2016
Hunter,Nancy,0329004,060291,MUS-10-96681,A,1/26/2017
Thomson,Karen,0328715,060290,MUS-10-96681,R,11/30/2016
Matthews,Betty,0328587,060294,MUS-10-96681,R,11/30/2016
Ross,Helen,0205062,053067,MUS-10-96681,R,12/12/2016
Owen,Sandra,0204540,053062,MUS-10-96681,R,12/12/2016
Mason,Donna,0205142,053070,MUS-10-96681,R,12/12/2016
Phillips,Kimberly,0356938,082793,MUS-10-96681,R,12/12/2016
Mitchell,Deborah,0356935,082795,MUS-10-96681,R,12/6/2016
Patel,Jessica,0357004,082793,MUS-10-96681,R,12/6/2016
Adams,Shirley,0340761,091996,MUS-10-96681,R,12/16/2016
Campbell,Cynthia,0343053,082495,MUS-10-96681,A,1/27/2017
Anderson,Angela,0343147,082496,MUS-10-96681,R,1/20/2017
Allen,Melissa,0342447,082491,MUS-10-96681,A,1/26/2017
Cook,Brenda,0342320,082496,MUS-10-96681,D,4/6/2017
Bailey,Amy,0343127,082491,MUS-10-96681,R,12/2/2016
John,Doe,0000689,120197,MUS-10-96681,R,12/10/2016
John,Doe,0000123,010695,WS-11-97014,R,11/13/2016
Parker,Anna,0342355,082495,WS-11-97014,R,1/19/2017
Miller,Rebecca,0342433,082488,WS-11-97014,R,1/19/2017
Davis,Virginia,0351934,052196,WS-11-97014,D,1/23/2017
Murphy,Kathleen,0351922,052195,WS-11-97014,X,12/13/2016
Price,Pamela,0352483,052193,WS-11-97014,R,12/13/2016
Bell,Martha,0351560,052191,WS-11-97014,X,11/29/2016
Baker,Debra,0351666,052195,WS-11-97014,X,12/13/2016
Griffiths,Amanda,0352241,052197,WS-11-97014,R,12/13/2016
Smith,Stephanie,0351996,052188,WS-11-97014,R,11/29/2016
Jones,Carolyn,0351981,052188,WS-11-97014,R,11/29/2016
Taylor,Christine,0352117,052198,WS-11-97014,D,3/30/2017
Williams,Marie,0270891,112391,WS-11-97014,R,11/28/2016
Brown,Janet,0274019,122284,WS-11-97014,D,2/2/2017
Davies,Catherine,0274000,122282,WS-11-97014,A,3/2/2017
Evans,Frances,0273353,122281,WS-11-97014,D,2/2/2017
John,Doe,0008956,050593,WS-11-97014,R,12/13/2016
John,Doe,0000689,120197,CS-21-95834,R,12/10/2016
Wilson,Ann,0208576,053081,CS-21-95834,R,1/11/2017
Thomas,Joyce,0208550,053085,CS-21-95834,D,3/29/2017
Roberts,Diane,0208643,053078,CS-21-95834,R,1/11/2017
Johnson,Alice,0187190,041975,CS-21-95834,X,1/19/2017
Lewis,Julie,0356814,112794,CS-21-95834,A,2/2/2017
Walker,Heather,0357363,112797,CS-21-95834,A,1/25/2017
Robinson,Teresa,0357375,112798,CS-21-95834,A,1/25/2017
Cole,Doris,0334640,060889,CS-21-95834,R,11/29/2016
Pearce,Gloria,0334902,060886,CS-21-95834,R,11/29/2016
Dean,Evelyn,0339750,091489,CS-21-95834,R,11/28/2016
Foster,Jean,0340104,091487,CS-21-95834,D,1/31/2017
Harvey,Cheryl,0339496,091491,CS-21-95834,R,11/28/2016
Michelle,Smith,0003562,040190,CS-21-95834,R,12/13/2016
Michelle,Smith,0008562,070892,BUS-5-95590,R,12/10/2016
Hudson,Mildred,0339655,091493,BUS-5-95590,R,11/28/2016
Gibson,Katherine,0292693,042392,BUS-5-95590,D,1/24/2017
Mills,Joan,0293384,042393,BUS-5-95590,A,1/24/2017
Berry,Ashley,0293034,042385,BUS-5-95590,R,1/11/2017
Barnes,Judith,0292570,042385,BUS-5-95590,R,11/21/2016
Pearson,Rose,0292580,042386,BUS-5-95590,X,12/8/2016
Kaur,Janice,0292773,042390,BUS-5-95590,X,1/11/2017
Booth,Kelly,0293372,042392,BUS-5-95590,R,12/8/2016
Dixon,Nicole,0334918,050289,BUS-5-95590,X,1/18/2017
Grant,Judy,0334285,050292,BUS-5-95590,R,1/18/2017
Gordon,Christina,0334869,050294,BUS-18-95581,D,1/26/2017
Lane,Kathy,0334522,050287,BUS-18-95581,A,1/25/2017
Harper,Theresa,0335175,050295,BUS-18-95581,A,1/25/2017
Mills,Joan,0293384,042393,BUS-18-95581,A,1/24/2017
Michelle,Smith,0003562,040190,BUS-18-95581,R,12/13/2016
Michelle,Smith,0008562,070892,BUS-18-95581,R,12/10/2016
Berry,Ashley,0293034,042385,BUS-18-95581,R,1/11/2017
Barnes,Judith,0292570,042385,BUS-18-95581,R,11/21/2016
Ali,Beverly,0363828,071777,BUS-18-95581,R,1/20/2017
Hart,Denise,0361692,080196,BUS-18-95581,X,1/22/2017
Mcdonald,Tammy,0361464,080188,BUS-18-95581,R,1/22/2017
Brooks,Irene,0361385,080196,BUS-18-95581,R,12/13/2016
Ryan,Jane,0362050,080197,BUS-18-95581,X,12/13/2016
Carr,Lori,0362082,080195,BUS-18-95581,D,3/30/2017
Macdonald,Rachel,0362119,080189,BUS-18-95581,X,1/22/2017
Hamilton,Marilyn,0352534,030488,BUS-18-95581,R,12/13/2016
Clarke,Timothy,0355212,090387,BUS-18-95581,A,1/31/2017
